F,Records,Price,Name
F0556,320,2574990,生姜
F0558,2566,19371763,香辛料（サフラン、ウコン、タイム、月けい樹の葉、カレー）
F0563,306,430137,穀物（米以外）（そば、大麦、小麦など）（粉以外）
F0574,109,151361,もみ殻、砕米
F0575,172,400403283,玄米
F0576,1392,268189954,精米
F0588,1108,403923711,小麦粉
F0589,705,3862554,穀粉（小麦粉以外）
F0591,618,1367180,加工した穀物やジャガイモ（ひき割り、フレーク、ペレット）（粉、コーンフレーク以外）
F0606,516,2039195,大豆など（落花生、麦芽を含む）
F0608,2451,22111422,でん粉
F0620,1275,15958634,採油用の種及び果実（ごま、菜種など）
F0637,1827,23574228,播種用の種・果実・胞子（野菜・園芸用草花以外）
F0638,3522,328650601,野菜の種
F0644,1530,106338837,園芸用草花の種
F0647,1392,94604465,飼料用植物（わらなど）、加工用植物（紅参などの人参類）
F0653,2036,42779775,加工用植物（香料用、医療用、殺虫用、殺菌用など）（人参類以外）
F0654,5467,114896518,海草（海苔、昆布など）
F0667,2708,104892310,植物性の液汁及びエキス
F0672,1652,58712283,寒天
F0675,774,6622481,組物に使用する植物性材料（竹など）
F0680,797,29804305,動物性油脂（魚・鯨以外）（豚脂など）
F0681,1469,543595786,魚、鯨の油脂
F0682,5042,81782105,植物油（ごま油以外）（大豆油、亜麻仁油など）
F0683,1431,116673899,ごま油
F0684,3583,236751960,調製食用脂（マーガリン、ショートニングなど）
F0689,1347,60074506,ウールグリース由来の脂肪性物質（ラノリンなど）
F0724,679,60896437,グリセリン、グリセリン水
F0726,1478,32371238,植物性ろう、みつろう、昆虫ろう、鯨ろう
F0728,256,2343351,ソーセージ及びこれに類する物品
F0739,829,21792094,肉、魚、甲殻類、軟体動物、水棲無脊椎動物のエキス及びジュース
F0770,1185,81222143,甘しゃ糖、てん菜糖、ショ糖（ざらめ糖、グラニュー糖、車糖を含む）（固体）
F0775,3280,71462195,糖類（甘しゃ糖・てん菜糖・ショ糖以外）（固体、液体、糖みつ）
F0785,1671,67390910,チューインガム
F0786,2933,161275112,砂糖菓子（チューインガム以外）
F0787,225,20821653,カカオ脂
F0789,477,36167512,ココアペースト
F0793,3048,148366938,チョコレート類
F0798,4239,540800329,調製食料品（育児用のもの、ココアを含むもの）
F0801,4393,49316111,麺類（スパゲッティ、パスタ、うどんなど）
F0806,1574,52041544,調製食料品（穀物）（コーンフレークなど）
F0807,4058,60234459,果実、ナッツ（かんきつ類以外）（調整品・缶詰）
F0808,1009,344460077,かんきつ類（みかんなど）（調整品・缶詰）
F0811,7109,319006398,ベーカリー製品、米菓（パン、ビスケット、せんべいなど）
F0817,1552,11550127,野菜、果実、ナッツ（酢で調製・保存処理をしたもの）
F0819,4941,43718716,野菜、豆、きのこ（調製・保存処理をしたもの）（酢以外）（漬け物など）
F0820,1192,27202750,じゃがいも（調製・保存処理をしたもの）（酢以外）
F0821,1916,59719709,野菜（トマト・アスパラガス・スイートコーン以外）（酢で調製・保存処理をしたもの以外）（漬け物など）
F0836,596,3675258,ジャム、フルーツゼリー、マーマレード、果実やナッツのペースト
F0873,1719,49369103,酵母
F0876,4485,175062158,醤油
F0877,7035,140481566,ソース（マスタード以外）（味噌など）
F0878,518,2890615,ソース（マスタード）
F0880,1933,148747976,スープ、ブロス、スープ用・ブロス用の調製品
F0885,1003,12708594,水（鉱水、炭酸水を含む）、氷、雪
F0887,3745,659843212,水（甘味料又は香味料を加えたもの）、その他のアルコールを含有しない飲料（果実又は野菜のジュースを除く）
F0890,1922,223765199,ビール
F0891,822,10712823,ワイン
F0899,1102,12030826,エタノール（80％以上）及び変性アルコール
F0902,1600,124545797,ウイスキー
F0908,1547,40596523,食酢、食酢代用物
F0909,715,384892438,肉、くず肉、魚、甲殻類、軟体動物、水棲無脊椎動物の粉、ミール及びペレット（食用以外）
F0911,218,2511458,ふすま、ぬかその他のかす（小麦など）
F0915,365,6884251,でん粉製造、砂糖製造、醸造、蒸留の際に生ずるかす（ビートパルプなど）
F0918,458,17071666,植物性の油かす（大豆など）、ぶどう酒かす
F0929,2970,367387208,飼料用の調製品（ペットフードなど）
F0932,290,35605662,葉たばこ、たばこくず
F0935,1584,752074110,たばこ（紙巻、葉巻）
F0939,288,12738800,たばこ（紙巻、葉巻以外）
F1307,670,31175077,不明（工業品）
F1312,284,43700969,不明（工業品）
F1407,11,9148,不明
