CntCode,CntName,FirstReported,LastReported,LatiN,LongE
507,スーダン,1970,2007,15.5006544,32.5598994
508,西サハラ,1975,2001,,
509,モーリタニア,1971,2019,18.0735299,-15.9582372
510,セネガル,1970,2019,14.716677,-17.4676861
511,ガンビア,1972,2018,13.4548761,-16.5790323
512,ギニア・ビサウ,1971,2019,11.85,-15.583333
513,ギニア,1972,2016,9.6411855,-13.5784012
514,シエラレオネ,1970,2019,8.4656765,-13.2317225
515,リベリア,1970,2019,6.2907432,-10.7605239
516,コートジボワール,1970,2019,6.8276228,-5.2893433
517,ガーナ,1970,2019,5.6037168,-0.1869644
518,トーゴ,1970,2019,6.1724969,1.2313618
519,ベナン,1970,2019,6.4968574,2.6288523
520,マリ,1976,2019,12.6392316,-8.0028892
521,ブルキナファソ,1971,2019,12.3714277,-1.5196603
522,カーボベルデ,1970,2017,14.93305,-23.5133267
523,カナリー諸島（西）,1970,2019,,
524,ナイジェリア,1970,2019,9.0764785,7.398574
525,ニジェール,1971,2019,13.5115963,2.1253854
526,ルワンダ,1971,2018,-1.9705786,30.1044288
527,カメルーン,1970,2001,3.8480325,11.5020752
528,チャド,1970,2000,12.1348457,15.0557415
529,中央アフリカ,1970,2000,4.3946735,18.5581899
530,赤道ギニア,1983,2000,3.7504118,8.7371039
531,ガボン,1970,2008,0.4161976,9.4672676
532,コンゴ共和国,1970,2019,-4.26336,15.242885
533,コンゴ民主共和国,1970,2018,-4.441931,15.266293
534,ブルンジ,1970,2019,-3.361378,29.3598782
535,アンゴラ,1971,2013,-8.8399876,13.2894368
536,サントメ・プリンシペ,1975,2018,0.3301924,6.733343
537,セントヘレナ及びその附属諸島（英）,2009,2009,,
538,エチオピア,1970,2019,8.9806034,38.7577605
539,ジブチ,1970,2019,11.5720765,43.1456475
540,ソマリア,1970,1993,2.0469343,45.3181623
541,ケニア,1970,2019,-1.2920659,36.8219462
542,ウガンダ,1970,2019,0.3475964,32.5825197
543,タンザニア,1970,2019,-6.162959,35.7516069
544,セーシェル,1970,2019,-4.619143,55.4513149
545,モザンビーク,1970,2019,-25.969248,32.5731746
546,マダガスカル,1970,2012,-18.8791902,47.5079055
547,モーリシャス,1970,2019,-20.1608912,57.5012222
548,レユニオン（仏）,1970,2019,,
549,ジンバブエ,1980,1998,-17.8251657,31.03351
550,ナミビア,1970,2019,-22.5608807,17.0657549
551,南アフリカ共和国,1970,2019,-25.7478676,28.2292712
552,レソト,1979,1996,-29.3150767,27.4869229
553,マラウイ,1970,2014,-13.9626121,33.7741195
554,ザンビア,1970,2019,-15.3875259,28.3228165
555,ボツワナ,1979,1984,-24.6282079,25.9231471
556,エスワティニ,1970,2011,-26.3054482,31.1366715
557,英領インド洋地域,1976,1999,,
558,コモロ,1980,2018,-11.7172157,43.2473146
559,エリトリア,1997,1999,15.3228767,38.9250517
601,オーストラリア,1970,2019,-35.308129,149.124402
602,パプアニューギニア,1970,2019,-9.4438004,147.1802671
603,テリトリー・オブ・ニューギニア,1970,1972,,
604,ビスマルク諸島（豪）,1970,1975,,
605,その他のオーストラリア領,1992,2000,,
606,ニュージーランド,1970,2019,-41.2864603,174.776236
607,クック,1970,2019,-21.206667,-159.775278
608,トケラウ諸島（ニュージーランド）,2001,2017,,
609,その他のニュージーランド自治領,1975,1977,,
610,サモア,1970,2019,-13.8506958,-171.7513551
611,バヌアツ,1970,2019,-17.7332512,168.3273245
612,フィジー,1970,2019,-18.1248086,178.4500789
613,ソロモン,1970,2019,-9.433333,159.95
614,トンガ,1970,2019,-21.1393418,-175.204947
615,キリバス,1970,2019,1.4518171,172.9716617
617,ナウル,1970,2004,-0.5466857,166.9210913
618,ニューカレドニア（仏）,1970,2019,-22.275833,166.458056
619,仏領ポリネシア,1970,2019,-17.535,-149.5696
620,グアム（米）,1970,2019,13.483333,144.75
621,米領サモア,1970,2019,-14.279444,-170.700556
622,米領オセアニア,1971,1996,,
623,マリアナ諸島,1970,1989,,
624,ツバル,1980,1992,-8.5211471,179.1961926
625,マーシャル,1989,2019,7.085833,171.373333
626,ミクロネシア,1989,2019,6.9147118,158.1610274
627,北マリアナ諸島（米）,1989,2019,15.1609,145.7061
628,パラオ,1989,2019,7.4951158,134.6336896
