"","pair1","pair2","Yfrom","Yuntil","correlation","observation","p"
"1341","P0003","P0528",2012,2020,0.388385265919899,474,1.62785372341811e-18
"1342","P0003","P0529",2012,2020,0.27368742039061,303,1.31797330129917e-06
"1358","P0003","P0560",2012,2020,0.242369132912321,259,8.12751328119951e-05
"1359","P0003","P0561",2012,2020,0.387093095452627,259,1.09763047471856e-10
"1400","P0003","P0645",2012,2020,0.274188693129416,616,4.37518173315981e-12
"1402","P0003","P0654",2012,2020,0.144201582019978,356,0.00642080800988363
"1411","P0003","P0670",2012,2020,0.295467036407103,293,2.58506864824753e-07
"1446","P0003","P0717",2012,2020,0.378048727663205,332,1.01330485445173e-12
"1496","P0003","P0782",2012,2020,0.21002742477028,265,0.000578928748874697
"1500","P0003","P0786",2012,2020,0.355072197465127,329,3.28265863380596e-11
"1511","P0003","P0800",2012,2020,0.402604429138619,403,3.89811453406573e-17
"1512","P0003","P0802",2012,2020,0.239929583216736,420,6.51478611684133e-07
"1514","P0003","P0804",2012,2020,0.357287829995042,431,2.01133940545926e-14
"1515","P0003","P0807",2012,2020,0.268099911065902,238,2.77418726701089e-05
"1517","P0003","P0810",2012,2020,0.224839161141121,209,0.00106421503251721
"1520","P0003","P0816",2012,2020,0.374673343926483,454,1.40625216125132e-16
"1528","P0003","P0824",2012,2020,0.328207341887025,224,5.04602498522046e-07
"1534","P0003","P0834",2012,2020,0.403124667495572,350,4.14690355629361e-15
"1539","P0003","P0840",2012,2020,0.395771942782313,301,9.95728117715031e-13
"1546","P0003","P0851",2012,2020,0.343692184113258,324,2.0540027536899e-10
"1551","P0003","P0857",2012,2020,0.375601737821107,247,1.07518150836933e-09
"1563","P0003","P0871",2012,2020,0.323340812609824,281,2.92781594741195e-08
"1568","P0003","P0876",2012,2020,0.434900876843007,533,5.28052442837947e-26
"1571","P0003","P0879",2012,2020,0.381056982301655,645,1.01511875633699e-23
"1572","P0003","P0880",2012,2020,0.428450685618712,439,5.00666648912333e-21
"1575","P0003","P0884",2012,2020,0.236933969926156,704,1.9368858187318e-10
"1578","P0003","P0887",2012,2020,0.344435887963075,368,1.09104467341185e-11
"1579","P0003","P0889",2017,2020,0.268225236712978,139,0.00141055665919802
"1580","P0003","P0890",2012,2020,0.350972496639689,341,2.5455868732022e-11
"1587","P0003","P0898",2017,2020,0.470089351883218,213,4.15271361577353e-13
"1591","P0003","P0902",2012,2020,0.409241049501753,336,5.34099770944832e-15
"1595","P0003","P0906",2012,2020,0.422575518598317,345,2.24546633734403e-16
"1596","P0003","P0907",2012,2020,0.335651069588959,380,1.85058614374323e-11
"1597","P0003","P0908",2012,2020,0.411787685881377,379,6.05446843076364e-17
"1610","P0003","P0931",2012,2020,0.345848032473018,429,1.69228135237399e-13
"1664","P0003","P1071",2012,2016,0.377447145012061,188,9.31444149857362e-08
