"","pair1","pair2","Yfrom","Yuntil","correlation","observation","p"
"27709","P0102","P0907",2012,2020,0.278167268905971,428,4.8026982586612e-09
"27710","P0102","P0908",2012,2020,0.348762836635553,419,1.98647008073145e-13
"27715","P0102","P0931",2012,2020,0.270618370313026,485,1.38023040057296e-09
"27720","P0102","P0950",2012,2016,-0.306700484415163,305,4.58730867012325e-08
"27729","P0102","P1031",2012,2016,-0.186999671627981,278,0.0017389886344297
"27737","P0102","P1071",2012,2016,0.159553088206785,242,0.0129495677453723
"27738","P0102","P1072",2012,2016,0.474043082101865,341,1.65936739588191e-20
"35587","P0151","P0211",2017,2020,0.512622122544046,86,4.51406310453657e-07
"35593","P0151","P0236",2017,2020,0.448703436226771,96,4.53930961860428e-06
"35594","P0151","P0238",2017,2020,0.595875181277944,127,1.46590882091736e-13
"35639","P0151","P0315",2017,2020,0.492760118176786,110,4.53959237281065e-08
"35672","P0151","P0378",2017,2020,0.310010658760845,125,0.000434329009191625
"35696","P0151","P0436",2017,2020,0.333836009817721,91,0.00122123142501139
"35725","P0151","P0525",2017,2020,0.434814965847691,84,3.58038482891847e-05
"35727","P0151","P0528",2017,2020,0.595163160950361,204,6.15022001173546e-21
"35728","P0151","P0529",2017,2020,0.43830649137968,135,1.05591733515925e-07
"35741","P0151","P0560",2017,2020,0.394302647966385,118,9.96242055075572e-06
"35742","P0151","P0561",2017,2020,0.452545889547105,110,6.92090526788965e-07
"35746","P0151","P0576",2017,2020,0.240506124192658,165,0.00186029091211941
"35747","P0151","P0588",2017,2020,0.46191316496035,95,2.45451435020938e-06
"35766","P0151","P0645",2017,2020,0.291184836072162,234,5.92795111658121e-06
"35769","P0151","P0654",2017,2020,0.318562834749197,138,0.000140139079969599
"35777","P0151","P0670",2017,2020,0.457116882393837,119,1.73284720228913e-07
"35783","P0151","P0679",2017,2020,0.419319501431165,86,5.85546953981754e-05
"35799","P0151","P0717",2017,2020,0.499543145945753,136,5.97985004099731e-10
"35800","P0151","P0718",2017,2020,0.36217531303155,99,0.00022985819219415
"35804","P0151","P0722",2017,2020,0.50577203957766,85,7.91296107953961e-07
"35818","P0151","P0749",2017,2020,0.261684746750434,125,0.00319961238316055
"35820","P0151","P0751",2017,2020,0.471381018455676,110,2.01761614180307e-07
"35830","P0151","P0761",2017,2020,0.487823556631856,95,5.32510649113199e-07
"35848","P0151","P0782",2017,2020,0.256515782852903,116,0.00544415431953359
"35849","P0151","P0786",2017,2020,0.530648144854,145,6.63903298843086e-12
"35852","P0151","P0795",2017,2020,0.541098638501606,117,3.00560164113109e-10
"35853","P0151","P0796",2017,2020,0.596123016652535,121,5.44378852125224e-13
"35854","P0151","P0797",2017,2020,0.574287827496909,101,3.40770269989905e-10
"35855","P0151","P0799",2017,2020,0.539036762258575,86,8.58532583645884e-08
"35856","P0151","P0800",2017,2020,0.598931475359964,160,5.97926509532755e-17
"35858","P0151","P0802",2017,2020,0.341973532154974,172,4.4021478907552e-06
"35860","P0151","P0804",2017,2020,0.584667615342127,175,1.97976928831474e-17
"35861","P0151","P0807",2017,2020,0.594920039728531,112,4.61704888835824e-12
"35863","P0151","P0810",2017,2020,0.413230432484436,96,2.85934164205821e-05
"35866","P0151","P0813",2017,2020,0.459565723701583,94,3.17062697865436e-06
"35867","P0151","P0814",2017,2020,0.533861736922787,96,2.12929497495464e-08
"35869","P0151","P0816",2017,2020,0.573671099628062,182,2.56795643794865e-17
"35873","P0151","P0824",2017,2020,0.2944660155362,99,0.00309057558113995
"35874","P0151","P0826",2017,2020,0.430838994582643,93,1.6253764188018e-05
"35876","P0151","P0828",2017,2020,0.301216449380379,91,0.00371491419654404
"35879","P0151","P0834",2017,2020,0.423125230963955,141,1.72031134777186e-07
"35884","P0151","P0840",2017,2020,0.551991290625414,127,1.73453045378924e-11
"35891","P0151","P0851",2017,2020,0.374313695388675,137,6.60592620157089e-06
"35895","P0151","P0857",2017,2020,0.20436803427853,119,0.0257842593402363
"35905","P0151","P0871",2017,2020,0.605552474045265,123,1.17281277245332e-13
"35910","P0151","P0876",2017,2020,0.547837575231163,210,7.60505957620969e-18
"35913","P0151","P0879",2017,2020,0.533833564456126,245,1.89117433322664e-19
"35914","P0151","P0880",2017,2020,0.610088205485857,180,9.825975963949e-20
"35916","P0151","P0882",2017,2020,0.531043589028012,108,3.37123767464065e-09
"35918","P0151","P0884",2017,2020,0.323421087645014,274,4.3259736718155e-08
"35921","P0151","P0887",2017,2020,0.450726497503683,156,3.54046918084275e-09
"35922","P0151","P0889",2017,2020,0.249155219017954,141,0.00288859670867388
"35923","P0151","P0890",2017,2020,0.365809569714086,150,4.15791424398194e-06
"35929","P0151","P0898",2017,2020,0.632030406446272,216,1.72311651509831e-25
"35932","P0151","P0902",2017,2020,0.505766042006245,166,3.64070549283661e-12
"35933","P0151","P0906",2017,2020,0.583728275219143,149,5.57949456344656e-15
"35934","P0151","P0907",2017,2020,0.511888928002541,147,3.4368906512835e-11
"35935","P0151","P0908",2017,2020,0.526349237294783,152,3.29719035042332e-12
"35944","P0151","P0931",2017,2020,0.427760147545766,165,9.99868730139184e-09
"41876","P0178","P0179",2017,2020,0.168383046899905,154,0.0368444949501942
"41878","P0178","P0183",2017,2020,0.29849919072077,119,0.000975910827601815
"41949","P0178","P0576",2017,2020,-0.206883491333887,209,0.00265121738672602
"41963","P0178","P0645",2017,2020,0.128099252541156,251,0.0425903675081067
"41966","P0178","P0654",2017,2020,-0.17496166005759,185,0.017218455777376
"41998","P0178","P0749",2017,2020,-0.224322778883503,168,0.00346459158997548
"42007","P0178","P0802",2017,2020,-0.195142214350674,213,0.00425269170420619
"42016","P0178","P0851",2017,2020,-0.233825893598232,185,0.00135841195628239
"42023","P0178","P0884",2017,2020,-0.17188306911251,299,0.00286456079608058
"42038","P0179","P0183",2017,2020,0.177544333419902,131,0.0424827975086943
"42040","P0179","P0195",2017,2020,0.291798451074029,161,0.000172837812158093
"42046","P0179","P0238",2017,2020,-0.175612870603825,190,0.0153697517356458
"42084","P0179","P0529",2017,2020,-0.179932762425047,197,0.0114033559739478
"42093","P0179","P0576",2017,2020,-0.223755199857081,222,0.000785850574530866
"42110","P0179","P0654",2017,2020,-0.242380686646963,201,0.000526797955855412
"42124","P0179","P0717",2017,2020,-0.176931549666832,198,0.0126458818821154
"42132","P0179","P0744",2017,2020,-0.454458145888474,161,1.39903936359186e-09
